unit_id,industry,china_import_penetration,source_emp_1991
100,Meat products,0.0010589021225942612,390.0
101,Dairy products,0.00030422181655314105,136.0
102,Canned / frozen fruits & vegetables,0.02217632852147404,216.0
110,Grain mill products,0.003991321955297673,102.7
111,Bakery products,0.001230614802675553,208.9
112,Sugar & confectionery,0.0084115375440368,91.80000000000001
120,Beverage industries,0.00039701644929757384,144.9
121,Misc. food preparations,0.011711549364788146,144.9
122,Not specified food industries,0.005879408783161216,1435.1999999999998
130,Tobacco manufactures,0.0001626017221128795,39.9
132,Knitting mills,0.0530848760416905,181.00000000000003
140,Dyeing & finishing textiles,0.01221427245361704,48.8
141,Carpets and rugs,0.017405254002800012,48.5
142,"Yarn, thread, and fabric mills",0.011836333861193442,269.99999999999994
150,Misc. textile mill products,0.05160823632832317,49.599999999999994
151,Apparel & accessories,0.19550923052391458,773.5000000000001
152,Misc. fabricated textile products,0.23312678004800408,186.1
160,"Pulp, paper, and paperboard mills",0.0072409544238642,197.70000000000002
161,Misc. paper & pulp products,0.04989889818584399,224.20000000000002
162,Paperboard containers and boxes,0.012051748297580689,198.60000000000002
171,Newspaper publishing and printing,2.0513053608219465e-06,428.4
172,Printing / publishing except newspapers,0.014141621139735964,1059.5
180,"Plastics, synthetics, and resins",0.01159570668472414,129.4
181,Drugs,0.009278133520793153,184.2
182,Soaps and cosmetics,0.012453009814403216,122.9
190,Paints and varnishes,0.0012342481882450154,51.1
191,Agricultural chemicals,0.040448723018399066,40.7
192,Industrial & misc. chemicals,0.021851350603230766,318.1
200,Petroleum refining,0.0006040658576581462,73.9
201,Misc. petroleum & coal products,0.012602157141315136,39.300000000000004
210,Tires and inner tubes,0.14778882626103573,65.5
211,Other rubber products,0.0827542760634387,163.3
212,Misc. plastics products,0.060116148900658674,610.9
220,Leather tanning and finishing,0.013021656520145936,11.5
221,Footwear except rubber/plastic,0.772042056822177,58.300000000000004
222,Leather products except footwear,0.6135844091262631,36.400000000000006
230,Logging,0.0028317511423383446,78.1
231,Sawmills / millwork,0.0410799552439016,367.5
232,Wood buildings and mobile homes,0.002508300523555121,54.1
241,Misc. wood products,0.10935756320927836,130.6
242,Furniture and fixtures,0.2992568587623202,465.79999999999995
250,Glass and glass products,0.07104650427487556,132.6
251,Cement / concrete / gypsum / plaster,0.028540121215596757,196.00000000000003
252,Structural clay products,0.04447017519105499,31.7
261,Pottery and related products,0.2617897441287433,36.7
262,Misc. nonmetallic mineral products,0.09048943242642414,78.90000000000002
270,Steelworks and rolling mills,0.06402256238125412,246.0
271,Iron and steel foundries,0.01639369327249752,125.4
272,Primary aluminum industries,0.02618869644577566,124.69999999999999
280,Other primary metal industries,0.0722904316456326,180.9
281,Cutlery / handtools / hardware,0.16300464375486098,131.6
282,Fabricated structural metal products,0.019519727390819402,378.90000000000003
290,Screw machine products,0.10296425490186127,90.6
291,Metal forgings and stampings,0.013871753634542381,231.5
292,Ordnance,0.0075530163210340735,68.7
300,Misc. fabricated metal products,0.1088101064343178,457.20000000000005
301,Not specified metal industries,0.061804259485971194,2035.5
310,Engines and turbines,0.02159283068292064,78.1
311,Farm machinery and equipment,0.022395424776199293,89.5
312,Construction / material handling machines,0.15339440444730262,190.4
320,Metalworking machinery,0.053747673124400965,265.8
321,Office & accounting machines,0.11714129158464943,37.9
322,Computers and related equipment,0.535618894931384,227.2
331,Machinery n.e.c.,0.10401046950482168,885.0
332,Not specified machinery,0.1495939737912363,1773.8999999999999
340,Household appliances,0.2917879668023088,104.4
341,Radio / TV / communications equipment,0.48370994584169613,282.1
342,Electrical machinery n.e.c.,0.14834107181478998,1040.5
350,Not specified electrical machinery,0.22513393460363862,1427.0000000000005
351,Motor vehicles and equipment,0.028018633915954733,652.9999999999999
352,Aircraft and parts,0.003375984702304132,567.9000000000001
360,Ship and boat building,0.007243266136931542,161.6
361,Railroad locomotives and equipment,0.02021319388750685,26.4
362,Guided missiles / space vehicles,0.00048516367595634064,177.7
370,Cycles & misc. transportation equipment,0.10222534491987476,46.900000000000006
371,Scientific & controlling instruments,0.03468380897170024,525.3
372,Medical / dental / optical instruments,0.08259968543981222,289.59999999999997
380,Photographic equipment and supplies,0.005048813792522945,78.0
381,Watches and clocks,0.092384534902281,8.4
390,Toys / amusement / sporting goods,0.7017043717911228,93.3
391,Misc. manufacturing industries,0.2021150327399192,269.6
392,Not specified manufacturing,0.08930027924125171,16752.6
