metric,metric_label,series,rank_bin,rank_bin_order,tick_label,year,cz_count,share,baseline_share,pp_diff
ba_plus,BA+ share,China Shock,Top 10,1,Top 10,1990,10,0.0971632545333721,0.14761373791335541,-5.045048337998331
ba_plus,BA+ share,China Shock,Next 40,2,Next 40,1990,40,0.11446400426455805,0.14761373791335541,-3.3149733648797364
ba_plus,BA+ share,China Shock,Next 50,3,Next 50,1990,50,0.13370582307060017,0.14761373791335541,-1.3907914842755247
ba_plus,BA+ share,China Shock,All Others,4,All Others,1990,621,0.15168119350415976,0.14761373791335541,0.40674555908043475
ba_plus,BA+ share,AI Exposure,Top 10,1,Top 10,2024,10,0.4528094552107803,0.2614144511662084,19.139500404457195
ba_plus,BA+ share,AI Exposure,Next 40,2,Next 40,2024,40,0.37066837400494285,0.2614144511662084,10.925392283873448
ba_plus,BA+ share,AI Exposure,Next 50,3,Next 50,2024,50,0.31908179827455874,0.2614144511662084,5.766734710835037
ba_plus,BA+ share,AI Exposure,All Others,4,All Others,2024,621,0.24665201266473877,0.2614144511662084,-1.4762438501469606
hs_less,HS-or-less share,China Shock,Top 10,1,Top 10,1990,10,0.7278948613445927,0.620830363318493,10.706449802609974
hs_less,HS-or-less share,China Shock,Next 40,2,Next 40,1990,40,0.7056703399528376,0.620830363318493,8.483997663434462
hs_less,HS-or-less share,China Shock,Next 50,3,Next 50,1990,50,0.6703432836882572,0.620830363318493,4.9512920369764295
hs_less,HS-or-less share,China Shock,All Others,4,All Others,1990,621,0.6096550169994543,0.620830363318493,-1.1175346319038604
hs_less,HS-or-less share,AI Exposure,Top 10,1,Top 10,2024,10,0.2985360305271388,0.4261020135707436,-12.756598304360484
hs_less,HS-or-less share,AI Exposure,Next 40,2,Next 40,2024,40,0.343519984537244,0.4261020135707436,-8.258202903349959
hs_less,HS-or-less share,AI Exposure,Next 50,3,Next 50,2024,50,0.37973603948974977,0.4261020135707436,-4.6365974080993855
hs_less,HS-or-less share,AI Exposure,All Others,4,All Others,2024,621,0.43720867974759664,0.4261020135707436,1.110666617685302
