czone,gpt_exposure,cz_total_emp
100,0.341960402914004,164217
200,0.29745590637940356,79513
301,0.3257402267999953,7735
302,0.3440573008690584,343670
401,0.34046918301013296,191585
402,0.3251017705915546,16728
500,0.32939037111787306,418463
601,0.3262905636680594,16327
602,0.3207425482222989,9465
700,0.3148243517736853,128765
800,0.31088834642008356,121901
900,0.3644632058254213,1018874
1001,0.33278634968902154,26716
1002,0.31395512182077184,32967
1100,0.3153455244373217,163127
1201,0.32323422276132513,12842
1202,0.3135753505335179,21087
1203,0.3237188686441317,171927
1204,0.32290505520520435,11947
1301,0.3071898225786412,8067
1302,0.30982919617177046,202885
1400,0.33044975589994807,187821
1500,0.3334108413381326,167698
1600,0.3164984519543223,64101
1701,0.37473921071356164,980685
1702,0.33550769052277135,9101
1800,0.29352816095815626,57010
1900,0.33509718831107693,199953
2000,0.34412134587738347,461799
2100,0.31986381324757185,33538
2200,0.33694708698642495,26340
2300,0.3329523270320513,68479
2400,0.3594706671995179,529699
2500,0.34462547141851047,168257
2600,0.32631345896410563,20952
2700,0.3199396738440923,137335
2800,0.3104868327009151,23588
2900,0.3409432793633212,52884
3001,0.34733667871603097,3864
3002,0.34184911034721793,4482
3003,0.3395094167333431,211977
3101,0.3207344190653467,16415
3102,0.34128577985567266,7396
3201,0.31217818846879536,2610
3202,0.3244978315948759,9786
3203,0.3529727632598675,15664
3300,0.34158683734240275,451157
3400,0.3116009617201125,70946
3500,0.33897992665785065,352777
3600,0.32776316149569495,49016
3700,0.3198657746217089,93919
3800,0.3276486202666389,174372
3901,0.335598074508079,65175
3902,0.2783781995696853,1062
4001,0.3053025551287483,4835
4002,0.32764345231262915,141044
4003,0.3172552163313607,12770
4004,0.3491068185811456,1910
4101,0.2949185646934002,2841
4102,0.3453394655763855,27778
4103,0.31426312588208155,15168
4200,0.34964710922566544,313982
4301,0.31430298900765885,7759
4302,0.32109819831101744,20047
4401,0.3607125812366929,23260
4402,0.32328747318177264,24133
4501,0.35691985789775077,1311
4502,0.3367791991241883,10262
4601,0.3129487385320421,8737
4602,0.3234398977373138,26513
4701,0.3348404626075065,15513
4702,0.3348300787925015,32036
4800,0.33474187595645605,23543
4901,0.326525848350476,67540
4902,0.33610095718068206,15205
4903,0.3307092646135035,5751
5000,0.3150008519537849,62280
5100,0.3283549636130204,22282
5201,0.3084704479813878,9255
5202,0.33042444031556994,565666
5300,0.32614468928656926,19092
5401,0.3244308710309533,52689
5402,0.31084531207733546,11867
5500,0.32135054973445404,44737
5600,0.357606250603943,904918
5700,0.32850870739155924,36369
5800,0.32258688092954174,26269
5900,0.32834691543164185,74149
6000,0.37656728196173156,245991
6100,0.29163938944494067,72835
6200,0.31986355984542814,50967
6301,0.31148217330797556,14525
6302,0.32695216144770867,35517
6401,0.34042479172376705,208923
6402,0.3206631883840365,20414
6501,0.3062249695676589,8775
6502,0.3103206553818418,49679
6600,0.3180884641719834,126377
6700,0.3592899985704186,1345953
6800,0.3230210688635758,272848
6900,0.31880472992372594,342020
7000,0.3525592555343559,2058505
7100,0.3384372091194127,792812
7200,0.3147623595869185,436391
7300,0.3430837945078162,271734
7400,0.3387397683453457,1312237
7500,0.3206726229445574,209548
7600,0.3506200075159209,700690
7700,0.3128462552061904,34737
7800,0.3112512092829755,134158
7900,0.3476150236113488,136343
8000,0.311568185093039,34435
8100,0.3485923715251865,320780
8201,0.3179275199768015,5413
8202,0.3422920626136123,306400
8300,0.3376412917716832,375517
8401,0.32799102302959565,176852
8402,0.30653402606730773,5297
8501,0.3163957952897062,3628
8502,0.33324079218811925,4653
8503,0.3258769452913671,68253
8601,0.3271007274821018,23415
8602,0.31853398908578023,32627
8701,0.3217701253201083,24587
8702,0.3322323147632337,26551
8800,0.3169401689937732,224787
8900,0.3458913384937194,129520
9001,0.31488869797545477,19204
9002,0.31501224551905793,18065
9003,0.3257155720937339,17812
9100,0.36853479371748366,2364697
9200,0.3237539397646484,27438
9301,0.3441967622213027,88641
9302,0.34730857607301874,12164
9400,0.31423110759640155,111407
9500,0.3101661309375072,23381
9600,0.31665961898411543,134651
9701,0.3393807455889822,86724
9702,0.3357028660774939,7484
9800,0.32382560442985026,55143
9900,0.36452539814545054,178351
10000,0.3247099024467516,76070
10101,0.33191502636211806,7479
10102,0.31092944997745847,17743
10200,0.3312347341184298,42491
10301,0.31774994592167316,6202
