unit_id,worker_weight,occupation,soc_pattern,gpt_exposure,selected_ge_50,selected_ge_60,selected_ge_70,selected_ge_80,selected_ge_90
10,36201617.4486,Chief executives,11-1011,0.5077777777777778,True,False,False,False,False
20,24954544.1391,General and operations managers,11-1021,0.4807692307692308,False,False,False,False,False
40,1514062.6664,Advertising and promotions managers,11-2011,0.4767441860465116,False,False,False,False,False
51,13478310.3851,Marketing managers,11-2021,0.5,True,False,False,False,False
52,12276836.8643,Sales managers,11-2022,0.45,False,False,False,False,False
60,2574724.4332,Public relations and fundraising managers,11-2030,0.5544317300232738,True,False,False,False,False
101,1432799.778,Administrative services managers,11-3012,0.3913043478260869,False,False,False,False,False
102,3008504.29,Facilities managers,11-3013,0.40016233766233766,False,False,False,False,False
110,16866093.9718,Computer and information systems managers,11-3021,0.5303030303030303,True,False,False,False,False
120,29659682.296800002,Financial managers,11-3031,0.4850552306692657,False,False,False,False,False
135,397567.3711,Compensation and benefits managers,11-3111,0.513157894736842,True,False,False,False,False
136,6336235.9459999995,Human resources managers,11-3121,0.48,False,False,False,False,False
137,1307453.5261,Training and development managers,11-3131,0.5,True,False,False,False,False
140,5904898.9564,Industrial production managers,11-3051,0.40571870150289957,False,False,False,False,False
150,5279809.3056,Purchasing managers,11-3061,0.5857142857142857,True,False,False,False,False
160,7155251.598999999,"Transportation, storage, and distribution managers",11-3071,0.486525974025974,False,False,False,False,False
205,14164070.1314,"Farmers, ranchers, and other agricultural managers",11-9013,0.3673469387755101,False,False,False,False,False
220,22279740.8652,Construction managers,11-9021,0.4444444444444445,False,False,False,False,False
230,21165761.2748,Education and childcare administrators,11-9030,0.4324629700496358,False,False,False,False,False
300,4236748.2088,Architectural and engineering managers,11-9041,0.4426108374384236,False,False,False,False,False
310,22318501.7633,Food service managers,11-9051,0.4166666666666666,False,False,False,False,False
335,1092760.7974,Entertainment and recreation managers,11-9070,0.37623310193642673,False,False,False,False,False
340,2353892.0073,Lodging managers,11-9081,0.4565217391304347,False,False,False,False,False
350,17507778.673,Medical and health services managers,11-9111,0.4285714285714285,False,False,False,False,False
360,557086.7337,Natural sciences managers,11-9121,0.5306967984934087,True,False,False,False,False
410,15985175.9408,"Property, real estate, and community association managers",11-9141,0.4431818181818182,False,False,False,False,False
420,8594198.5092,Social and community service managers,11-9151,0.3928571428571428,False,False,False,False,False
425,391863.55700000003,Emergency management directors,11-9161,0.4222222222222222,False,False,False,False,False
440,115704699.2259,"Managers, all other",11-9199,0.4912673640410586,False,False,False,False,False
500,803496.7757,"Agents and business managers of artists, performers, and athletes",13-1011,0.5434782608695652,True,False,False,False,False
510,149731.8269,"Buyers and purchasing agents, farm products",13-1021,0.5277777777777778,True,False,False,False,False
520,3463390.4283,"Wholesale and retail buyers, except farm products",13-1022,0.4666666666666667,False,False,False,False,False
530,5260219.9075,"Purchasing agents, except wholesale, retail, and farm products",13-1023,0.4736842105263157,False,False,False,False,False
540,7857183.1939,"Claims adjusters, appraisers, examiners, and investigators",13-1030,0.5194963044073365,True,False,False,False,False
565,6280977.4552,Compliance officers,13-1041,0.5263042749310427,True,False,False,False,False
600,2751634.5664,Cost estimators,13-1051,0.5,True,False,False,False,False
630,19295240.3504,Human resources workers,13-1070,0.6362380992565204,True,True,False,False,False
640,1529162.8602,"Compensation, benefits, and job analysis specialists",13-1141,0.4736842105263157,False,False,False,False,False
650,3507898.1639,Training and development specialists,13-1151,0.5526315789473684,True,False,False,False,False
700,3210684.0093,Logisticians,13-1081,0.5278605318327264,True,False,False,False,False
705,17975797.1511,Project management specialists,13-1082,0.55,True,False,False,False,False
710,20883267.333,Management analysts,13-1111,0.4047619047619047,False,False,False,False,False
725,2677661.7784,"Meeting, convention, and event planners",13-1121,0.4864864864864865,False,False,False,False,False
726,1815892.5232,Fundraisers,13-1131,0.5192307692307693,True,False,False,False,False
735,8442169.5002,Market research analysts and marketing specialists,13-1161,0.5245901639344263,True,False,False,False,False
750,10366604.8282,"Business operations specialists, all other",13-1199,0.5828407660281357,True,False,False,False,False
800,34500200.734400004,Accountants and auditors,13-2011,0.56,True,False,False,False,False
810,1642585.618,Property appraisers and assessors,13-2020,0.53125,True,False,False,False,False
820,1269452.3177,Budget analysts,13-2031,0.52,True,False,False,False,False
830,955354.0941000001,Credit analysts,13-2041,0.5555555555555556,True,False,False,False,False
845,7703972.1585,Financial and investment analysts,13-2051,0.4615384615384615,False,False,False,False,False
850,11024768.3397,Personal financial advisors,13-2052,0.5,True,False,False,False,False
860,2526230.3447000002,Insurance underwriters,13-2053,0.5714285714285714,True,False,False,False,False
900,391556.1762,Financial examiners,13-2061,0.5,True,False,False,False,False
910,8978569.3951,Credit counselors and loan officers,13-2070,0.5941626650660264,True,False,False,False,False
930,1439815.509,"Tax examiners and collectors, and revenue agents",13-2081,0.5806451612903225,True,False,False,False,False
940,1693362.1284,Tax preparers,13-2082,0.625,True,True,False,False,False
960,1629927.8412000001,Other financial specialists,13-20XX,0.5475652073310062,True,False,False,False,False
1005,903670.8078,Computer and information research scientists,15-1221,0.6346153846153847,True,True,False,False,False
1006,10385299.9592,Computer systems analysts,15-1211,0.6174242424242424,True,True,False,False,False
1007,3536949.0006,Information security analysts,15-1212,0.6521739130434783,True,True,False,False,False
1010,9590769.7438,Computer programmers,15-1251,0.95,True,True,True,True,True
1021,44083928.9285,Software developers,15-1252,0.8684210526315789,True,True,True,True,False
1022,1697526.6314,Software quality assurance analysts and testers,15-1253,0.8771929824561403,True,True,True,True,False
1031,1774028.825,Web developers,15-1254,0.9326923076923076,True,True,True,True,True
1032,1614683.9657,Web and digital interface designers,15-1255,0.75,True,True,True,False,False
1050,14352472.031,Computer support specialists,15-1230,0.6151794658652512,True,True,False,False,False
1065,2783117.0845999997,Database administrators and architects,15-124X,0.7468997263704851,True,True,True,False,False
1105,4833723.5832,Network and computer systems administrators,15-1244,0.7297297297297298,True,True,True,False,False
1106,2304904.5831,Computer network architects,15-1241,0.6352227393617021,True,True,False,False,False
1108,19867395.3158,"Computer occupations, all other",15-1299,0.7357861863332168,True,True,True,False,False
1200,625247.4725,Actuaries,15-2011,0.5,True,False,False,False,False
1220,2952963.1173,Operations research analysts,15-2031,0.6290322580645161,True,True,False,False,False
1240,6957460.5373,Other mathematical science occupations,15-20XX,0.6684633780297723,True,True,False,False,False
1305,4123329.536,"Architects, except landscape and naval",17-1011,0.4883720930232558,False,False,False,False,False
1306,633000.4351,Landscape architects,17-1012,0.4210526315789473,False,False,False,False,False
1310,921668.1476,"Surveyors, cartographers, and photogrammetrists",17-1020,0.5119841127098322,True,False,False,False,False
1320,3268424.5468,Aerospace engineers,17-2011,0.5714285714285714,True,False,False,False,False
1340,521836.0552,Bioengineers and biomedical engineers,17-2031,0.5897435897435898,True,False,False,False,False
1350,1491716.8572,Chemical engineers,17-2041,0.4615384615384615,False,False,False,False,False
1360,9473290.5615,Civil engineers,17-2051,0.48214285714285715,False,False,False,False,False
1400,1990957.6859,Computer hardware engineers,17-2061,0.7272727272727273,True,True,True,False,False
