czone,china_exposure,working_age_25_64_cz,pop2000_cz,gpt_exposure,china_above_average_mass,gpt_above_average_mass,china_exposure_z,gpt_exposure_z,china_pctile,gpt_pctile,adult25p_1990,hs_less_1990,ba_plus_1990,hs_less_share_1990,ba_share_1990,adult25p_2024,hs_less_2024,ba_plus_2024,hs_less_share_2024,ba_share_2024
100,0.0413072839257096,316147.0,576081,0.341960402914004,6441.9583044858355,0.0,1.0445402120389542,0.8879719977118924,0.8945908460471568,0.8224687933425797,352383,241597,45958,0.6856091241631974,0.13042059350195667,452727,208382,112103,0.4602818033826125,0.24761721744009083
200,0.055399415920727,145208.0,227816,0.2974559063794035,5005.116043535908,0.0,1.7451384441981708,-1.3063746581990525,0.9528432732316228,0.08044382801664356,119103,86962,11522,0.7301411383424431,0.0967397966466,202575,102951,39042,0.5082117734172529,0.1927286190299889
301,0.0650939965973331,32392.0,66708,0.3257402267999953,1430.5336536116415,0.0,2.227109950422822,0.0882170968472213,0.9653259361997226,0.5603328710124826,40607,32376,3377,0.7973009579629128,0.08316300145295147,44888,25426,7406,0.5664320085546248,0.16498841561219035
302,0.0173751034972576,462952.0,727600,0.3440573008690584,0.0,0.0,-0.1452615373214105,0.9913620228497524,0.5409153952843273,0.8460471567267683,417702,250780,77594,0.6003801753403144,0.18576401357905875,633736,245526,210359,0.3874263100092152,0.33193474885441254
401,0.0433976384739716,296681.0,493180,0.3404691830101329,6665.478513042955,0.0,1.148463358771907,0.8144456427571005,0.9098474341192788,0.8002773925104022,282311,166502,52477,0.5897821905628898,0.18588365313430932,405655,151634,130951,0.37380039688898203,0.32281372101909256
402,0.0803980859847857,39479.0,92753,0.3251017705915546,2347.7082392386146,0.0,2.987961322908329,0.056737260987304215,0.9764216366158114,0.5450762829403606,61406,44857,5191,0.730498648340553,0.08453571312249618,59032,29614,9670,0.5016601165469576,0.1638094592763247
500,0.0532307168285136,638670.0,1055133,0.329390371117873,20628.975842332165,0.0,1.637320354598441,0.26819176460467,0.9459084604715673,0.6463245492371706,596914,372046,94504,0.6232824158924066,0.15832096415899108,864224,346371,248091,0.40078845299366833,0.2870679360906432
601,0.0778114956496038,46007.0,90016,0.3262905636680594,2616.9092975478175,0.0,2.8593675361917916,0.11535210476989465,0.9736477115117892,0.5742024965325936,55021,40543,4730,0.7368641064320895,0.08596717616909907,68460,32560,13426,0.47560619339760446,0.19611451942740285
602,0.1147363262782278,30523.0,64676,0.3207425482222989,2863.225503250669,0.0,4.695106164693087,-0.1581993358330075,0.9944521497919556,0.4576976421636616,40958,31760,2800,0.7754284877191269,0.06836271302309684,46977,23963,8450,0.5101006875705132,0.17987525810503013
700,0.0263938186684237,230751.0,354533,0.3148243517736853,1260.59267124376,0.0,0.3031089368907616,-0.4500029870875006,0.7350901525658807,0.3273231622746186,205041,137819,27069,0.6721533742032081,0.13201749893923653,309654,140756,74816,0.45455895935463453,0.2416116052109774
800,0.0374601968752146,257030.0,413331,0.3108883464200835,4248.54603397983,0.0,0.8532801253826284,-0.6440723701353179,0.8585298196948682,0.2302357836338419,237269,160038,25394,0.6745002507702228,0.10702620232731626,347313,144259,87686,0.4153573289799115,0.2524696743283436
900,0.0221335612184824,1247176.0,1423942,0.3644632058254213,1500.0314169255273,22819.765285177713,0.09130785249648207,1.997499217706427,0.6629680998613038,0.9694868238557559,705931,384386,140273,0.5445093075668869,0.19870638915134764,1568514,482013,653977,0.30730551337125456,0.41694049272113604
1001,0.0343967733255965,40653.0,77361,0.3327863496890215,547.4314473215601,0.0,0.7009803084368176,0.4356344906526167,0.826629680998613,0.7073509015256588,38687,24283,7087,0.6276785483495748,0.1831881510584951,58541,22371,20781,0.3821424300917306,0.35498197844245916
1002,0.084616441697527,86017.0,164760,0.3139551218207718,5478.046220528913,0.0,3.1976792389773965,-0.49286139441518356,0.9819694868238558,0.29958391123439665,94715,66865,9233,0.7059599852188143,0.09748191944253815,123425,57264,25915,0.46395786915130643,0.20996556613327932
1100,0.1001124472977319,248471.0,375363,0.3153455244373217,19674.33840219002,0.0,3.968071833431623,-0.4243059546378989,0.9875173370319001,0.34119278779472956,203666,136859,23810,0.671977649681341,0.11690709298557442,337014,138104,92196,0.4097871305049642,0.27356727020242483
1201,0.0201776782181984,26109.0,44861,0.3232342227613251,0.0,0.0,-0.0059299659396303255,-0.035344385927447916,0.6116504854368932,0.5048543689320388,25167,16910,3189,0.6719116303095323,0.12671355346286803,42180,16752,12225,0.39715504978662874,0.2898293029871977
1202,0.0552582406008999,30500.0,54082,0.3135753505335179,1046.9863634213048,0.0,1.7381198341304853,-0.5115864653425359,0.9500693481276006,0.29403606102635227,28339,18447,4392,0.6509404001552631,0.1549807685521719,44198,19131,11979,0.43284764016471333,0.27103036336485814
1203,0.0281810549955044,261932.0,398505,0.3237188686441317,1899.0688542262103,0.0,0.391962391545188,-0.011448349458169332,0.7642163661581137,0.5173370319001387,231083,133543,41207,0.5779005811764604,0.1783212092624728,383210,122045,156066,0.3184807285822395,0.4072597270426137
